Image#,Source PDF,Year,Type of Chart,Secondary Type Of Chart,Description,PDF Link
125,"Special Report: Global Warming of 1.5c Chapter 5 Sustainable Development, Poverty Eradication and Reducing Inequalities",2018,Box and Whiskers,None,Sustainable development implications of mitigation actions in 1.5�C pathways. Panel (a) shows ranges for 1.5�C pathways for selected sustainable development dimensions compared to the ranges of 2�C pathways and baseline pathways.,https://www.ipcc.ch/site/assets/uploads/sites/2/2019/02/SR15_Chapter5_Low_Res.pdf
126,Climate Change 2014 Synthesis Report,2014,Line Chart,Heat Map,Multiple observed indicators of a changing global climate system.,https://www.ipcc.ch/site/assets/uploads/2018/02/SYR_AR5_FINAL_full.pdf
127,Climate Change 2014 Synthesis Report,2014,Area Chart,Box and Whisker,"Annual global anthropogenic carbon dioxide (CO2) emissions (gigatonne of CO2-equivalent per year, GtCO2/yr) from fossil fuel combustion, cement production and flaring, and forestry and other land use (FOLU), 1750�2011. Cumulative emissions and their uncertainties are shown as bars and whiskers, respectively, on the right-hand side.",https://www.ipcc.ch/site/assets/uploads/2018/02/SYR_AR5_FINAL_full.pdf
128,Climate Change 2014 Synthesis Report,2014,Pie Chart,None,"Total anthropogenic greenhouse gas (GHG) emissions (gigatonne of CO2- equivalent per year, GtCO2-eq/yr) from economic sectors in 2010.",https://www.ipcc.ch/site/assets/uploads/2018/02/SYR_AR5_FINAL_full.pdf
129,Climate Change 2014 Synthesis Report,2014,Bar Graph,None,"Decomposition of the change in total annual carbon dioxide (CO2) emissions from fossil fuel combustion by decade and four driving factors: population, income (gross domestic product, GDP) per capita, energy intensity of GDP and carbon intensity of energy",https://www.ipcc.ch/site/assets/uploads/2018/02/SYR_AR5_FINAL_full.pdf
130,Climate Change 2014 Synthesis Report,2014,Line Chart ,None,"Comparison of observed and simulated change in continental surface temperatures on land (yellow panels), Arctic and Antarctic September sea ice extent (white panels), and upper ocean heat content in the major ocean basins (blue panels).",https://www.ipcc.ch/site/assets/uploads/2018/02/SYR_AR5_FINAL_full.pdf
131,Climate Change 2014 Synthesis Report,2014,Line Chart,None,Global average surface temperature change (a) and global mean sea level rise10 (b) from 2006 to 2100 as determined by multi-model simulations.,https://www.ipcc.ch/site/assets/uploads/2018/02/SYR_AR5_FINAL_full.pdf
132,Climate Change 2014 Synthesis Report,2014,Heat Map,None,Change in average surface temperature (a) and change in average precipitation (b) based on multi-model mean projections for 2081�2100 relative to 1986�2005 under the RCP2.6 (left) and RCP8.5 (right) scenarios.,https://www.ipcc.ch/site/assets/uploads/2018/02/SYR_AR5_FINAL_full.pdf
133,Climate Change 2014 Synthesis Report,2014,???,None,"Global mean surface temperature increase at the time global CO2 emissions reach a given net cumulative total, plotted as a function of that total, from various lines of evidence",https://www.ipcc.ch/site/assets/uploads/2018/02/SYR_AR5_FINAL_full.pdf
134,Climate Change 2014 Synthesis Report,2014,Bar Graph,None,"Representative key risks 14 for each region, including the potential for risk reduction through adaptation and mitigation, as well as limits to adaptation. Each key risk is assessed as very low, low, medium, high or very high.",https://www.ipcc.ch/site/assets/uploads/2018/02/SYR_AR5_FINAL_full.pdf
135,Climate Change 2014 Synthesis Report,2014,Bar Graph,None,"Summary of projected changes in crop yields (mostly wheat, maize, rice and soy), due to climate change over the 21st century.",https://www.ipcc.ch/site/assets/uploads/2018/02/SYR_AR5_FINAL_full.pdf
136,Climate Change 2014 Synthesis Report,2014,Line Chart,None,The implications of different 2030 greenhouse gas (GHG) emissions levels for the rate of carbon dioxide (CO2) emissions reductions and low-carbon energy upscaling in mitigation scenarios that are at least about as likely as not to keep warming throughout the 21st century below 2�C relative to pre-industrial levels (2100 CO2-equivalent concentrations of 430 to 530 ppm).,https://www.ipcc.ch/site/assets/uploads/2018/02/SYR_AR5_FINAL_full.pdf
137,Climate Change 2014 Synthesis Report,2014,Waterfall Chart,None,"Global mitigation costs in cost-effective scenarios at different atmospheric concentrations levels in 2100. Cost-effective scenarios assume immediate mitigation in all countries and a single global carbon price, and impose no additional limitations on technology relative to the models� default technology assumptions.",https://www.ipcc.ch/site/assets/uploads/2018/02/SYR_AR5_FINAL_full.pdf
138,Climate Change 2014 Synthesis Report,2014,Waterfall Chart,None,Influence of energy demand on the deployment of energy supply technologies in 2050 in mitigation scenarios reaching about 450 to about 500 ppm CO2-eq concentrations by 2100 (at least about as likely as not to limit warming to 2�C above pre-industrial levels),https://www.ipcc.ch/site/assets/uploads/2018/02/SYR_AR5_FINAL_full.pdf
139,Climate Change 2014 Synthesis Report,2014,Bar Graph,None,Change in annual investment flows from the average baseline level over the next two decades (2010 to 2029) for mitigation scenarios that stabilize concentrations (without overshoot) within the range of approximately 430 to 530 ppm CO2-eq by 2100,https://www.ipcc.ch/site/assets/uploads/2018/02/SYR_AR5_FINAL_full.pdf
140,Climate Change 2014 Synthesis Report,2014,Heat Map,None ,Risks associated with Reasons For Concern at a global scale are shown for increasing levels of climate change. The colour shading indicates the additional risk due to climate change when a temperature level is reached and then sustained or exceeded.,https://www.ipcc.ch/site/assets/uploads/2018/02/SYR_AR5_FINAL_full.pdf
141,"Climate Change 2014 Impacts, Adaptation, and Vulnerability Part A: Global and Sectoral Aspects",2014,Line Chart,None,"(a) Projected radiative forcing (RF,W m�2 ) and (b) global mean surface temperature change (�C) over the 21st century using the Special Report on Emissions Scenarios (SRES) and Representative Concentration Pathway (RCP) scenarios",https://www.ipcc.ch/site/assets/uploads/2018/02/WGIIAR5-PartA_FINAL.pdf
142,"Climate Change 2014 Impacts, Adaptation, and Vulnerability Part A: Global and Sectoral Aspects",2014,Line Chart,Bar Graph,"Change in mean monthly runoff across seven climate models in seven catchments, with a 2�C increase in global mean temperature above 1961�1990",https://www.ipcc.ch/site/assets/uploads/2018/02/WGIIAR5-PartA_FINAL.pdf
143,"Climate Change 2014 Impacts, Adaptation, and Vulnerability Part A: Global and Sectoral Aspects",2014,Heat Map,None,"Locations of observed biome shifts during the 20th century, listed in Table 4-1, derived from Gonzalez et al. (2010). The color of each semicircle indicates the retracting biome",https://www.ipcc.ch/site/assets/uploads/2018/02/WGIIAR5-PartA_FINAL.pdf
144,"Climate Change 2014 Impacts, Adaptation, and Vulnerability Part A: Global and Sectoral Aspects",2014,Heat Map,None,Projections of climate change-driven biome shifts in the context of direct human land use,https://www.ipcc.ch/site/assets/uploads/2018/02/WGIIAR5-PartA_FINAL.pdf
145,"Climate Change 2014 Impacts, Adaptation, and Vulnerability Part A: Global and Sectoral Aspects",2014,Area Chart,None,"Proportion of global land cover occupied by primary and secondary vegetation (forest and non-forest), cropland, pasture, and urban land, from satellite data and historical reconstructions up to 2005",https://www.ipcc.ch/site/assets/uploads/2018/02/WGIIAR5-PartA_FINAL.pdf
146,"Climate Change 2014 Impacts, Adaptation, and Vulnerability Part A: Global and Sectoral Aspects",2014,Line Chart,None,"(a) Climate change scenarios , (b) Estimate of climate velocity to determine rate of displacement, (c) Species displacement rates (required to track climate velocity) ",https://www.ipcc.ch/site/assets/uploads/2018/02/WGIIAR5-PartA_FINAL.pdf
147,"Climate Change 2014 Impacts, Adaptation, and Vulnerability Part A: Global and Sectoral Aspects",2014,Line Chart,None,"CMIP5 multi-model simulated area of Northern Hemisphere permafrost in the upper 3 m of soil, from 1850 to 2100 or 2300 depending on extent of individual simulations. Each panel shows historical (1850�2005) and projected (2005�2100 or 2300) simulations",https://www.ipcc.ch/site/assets/uploads/2018/02/WGIIAR5-PartA_FINAL.pdf
148,"Climate Change 2014 Impacts, Adaptation, and Vulnerability Part A: Global and Sectoral Aspects",2014,Bar Graph,None,Percent of reef locations,https://www.ipcc.ch/site/assets/uploads/2018/02/WGIIAR5-PartA_FINAL.pdf
149,"Climate Change 2014 Impacts, Adaptation, and Vulnerability Part A: Global and Sectoral Aspects",2014,Heat Map,Bar Graph,Sea surface temperature variability between 1911 and 2011,https://www.ipcc.ch/site/assets/uploads/2018/02/WGIIAR5-PartA_FINAL.pdf
150,"Climate Change 2014 Impacts, Adaptation, and Vulnerability Part A: Global and Sectoral Aspects",2014,Line Chart,None,"Thermal specialization of an organism explains the why, how, when, and where of climate sensitivity. (a) The thermal tolerance range and performance levels of an organism are described by its performance curve (exemplified for an animal).",https://www.ipcc.ch/site/assets/uploads/2018/02/WGIIAR5-PartA_FINAL.pdf
151,"Climate Change 2014 Impacts, Adaptation, and Vulnerability Part A: Global and Sectoral Aspects",2014,Bar Chart,Dendrogram,Maximal values of temperature covered by various domains and groups of free-living marine organisms (bacteria to animals; domains and groups modified after Woese,https://www.ipcc.ch/site/assets/uploads/2018/02/WGIIAR5-PartA_FINAL.pdf
152,"Climate Change 2014 Impacts, Adaptation, and Vulnerability Part A: Global and Sectoral Aspects",2014,Line Chart,???,Role of thermal tolerance and performance of organisms at ecosystem level,https://www.ipcc.ch/site/assets/uploads/2018/02/WGIIAR5-PartA_FINAL.pdf
153,"Climate Change 2014 Impacts, Adaptation, and Vulnerability Part A: Global and Sectoral Aspects",2014,Heat Map,Line Chart,Multi-decadal changes in ecosystem structure in the Northeast Atlantic driven by warming from both anthropogenic climate change and natural climate variability.,https://www.ipcc.ch/site/assets/uploads/2018/02/WGIIAR5-PartA_FINAL.pdf
154,"Climate Change 2014 Impacts, Adaptation, and Vulnerability Part A: Global and Sectoral Aspects",2014,Heat Map,None,Multi-model annual mean changes of projected vertically integrated net primary production (small and large phytoplankton) under the low-emission scenario Representative Concentration Pathway,https://www.ipcc.ch/site/assets/uploads/2018/02/WGIIAR5-PartA_FINAL.pdf
155,"Climate Change 2014 Impacts, Adaptation, and Vulnerability Part A: Global and Sectoral Aspects",2014,Bar Graph,None,Summary of estimates of the impact of recent climate trends on yields for four major crops. Studies were taken from the peer-reviewed literature and used different methods,https://www.ipcc.ch/site/assets/uploads/2018/02/WGIIAR5-PartA_FINAL.pdf
156,"Climate Change 2014 Impacts, Adaptation, and Vulnerability Part A: Global and Sectoral Aspects",2014,Line Chart,None,"Since the AR4, international food prices have reversed historical downward trend. The plot shows the history of FAO food and cereal price indices",https://www.ipcc.ch/site/assets/uploads/2018/02/WGIIAR5-PartA_FINAL.pdf
157,"Climate Change 2014 Impacts, Adaptation, and Vulnerability Part A: Global and Sectoral Aspects",2014,Scatter Plot,Line Chart,Percentage simulated yield change as a function of local temperature change for the three major crops and for temperate and tropical regions,https://www.ipcc.ch/site/assets/uploads/2018/02/WGIIAR5-PartA_FINAL.pdf
158,"Climate Change 2014 Impacts, Adaptation, and Vulnerability Part A: Global and Sectoral Aspects",2014,Bar Graph,Heat Map,"Summary of projected changes in crop yields, due to climate change over the 21st century. The figure includes projections for different emission scenarios, for tropical and temperate regions, and for adaptation and no-adaptation cases combined. R",https://www.ipcc.ch/site/assets/uploads/2018/02/WGIIAR5-PartA_FINAL.pdf
159,"Climate Change 2014 Impacts, Adaptation, and Vulnerability Part A: Global and Sectoral Aspects",2014,???,None,"Projected percentage change in coefficient of variation (CV) of yield for wheat (Tao and Zhang, 2011a; Challinor et al., 2010), maize (Tao et al., 2009b; Urban et al., 2012), rice (Tao and Zhang, 2013), and C4 crops (arid and non-arid, Berg et al., 2013)",https://www.ipcc.ch/site/assets/uploads/2018/02/WGIIAR5-PartA_FINAL.pdf
160,"Climate Change 2014 Impacts, Adaptation, and Vulnerability Part A: Global and Sectoral Aspects",2014,Box and Whiskers,None,"Boxplot summary of studies that quantify impact of climate and CO2 changes on crop yields, including historical and projected impacts, mean and variability of yields, and for all available crops in temperate and tropical regions",https://www.ipcc.ch/site/assets/uploads/2018/02/WGIIAR5-PartA_FINAL.pdf
161,"Climate Change 2014 Impacts, Adaptation, and Vulnerability Part A: Global and Sectoral Aspects",2014,Scatter Plot,Line Chart,Simulated yield benefit from adaptation calculated as the difference between the yield change from baseline (%) for paired non-adapted and adapted cases as affected by temperature and aggregated across all crops.,https://www.ipcc.ch/site/assets/uploads/2018/02/WGIIAR5-PartA_FINAL.pdf
162,"Climate Change 2014 Impacts, Adaptation, and Vulnerability Part A: Global and Sectoral Aspects",2014,Scatter Plot,None,Estimates of the total impact of climate change plotted against the assumed climate change,https://www.ipcc.ch/site/assets/uploads/2018/02/WGIIAR5-PartA_FINAL.pdf
163,"Climate Change 2014 Impacts, Adaptation, and Vulnerability Part A: Global and Sectoral Aspects",2014,Line Chart,None,"(a) Rainfall, Breteau index, and Dengue cases, Trinidad (2002�2004) , (b) Efficacy of pre-seasonal treatment with temephos on Aedes aegypti ovitrap egg counts in Curepe (treatment) and St. Joseph (control),",https://www.ipcc.ch/site/assets/uploads/2018/02/WGIIAR5-PartA_FINAL.pdf
164,"Climate Change 2014 Impacts, Adaptation, and Vulnerability Part A: Global and Sectoral Aspects",2014,Choropleth Map,None,Effect of rising temperatures on the area in which transmission of Schistosomiasis japonica may occur. Green area denotes the range of schistosomiasis in China in 2000,https://www.ipcc.ch/site/assets/uploads/2018/02/WGIIAR5-PartA_FINAL.pdf
165,"Climate Change 2014 Impacts, Adaptation, and Vulnerability Part A: Global and Sectoral Aspects",2014,Heat Map,Chloropleth,"The 1980�2009 average of the hottest months globally, measured in web bulb globe temperature (WBGT), which combines temperature, humidity, and other factors into a single index of the impact on work capacity and threat of heat exhaustion.",https://www.ipcc.ch/site/assets/uploads/2018/02/WGIIAR5-PartA_FINAL.pdf
166,"Climate Change 2014 Impacts, Adaptation, and Vulnerability Part A: Global and Sectoral Aspects",2014,Polar Are,None,Conceptual presentation of the health impacts from climate change and the potential for impact reduction through adaptation. Impacts are identified in eight health-related sectors based on assessment of the literature and expert judgments by authors of Chapter 11.,https://www.ipcc.ch/site/assets/uploads/2018/02/WGIIAR5-PartA_FINAL.pdf
167,"Climate Change 2014 Impacts, Adaptation, and Vulnerability Part A: Global and Sectoral Aspects",2014,???,None,"Illustrative co-benefits comparison of the health and climate cost-effectiveness of selected household, transport, and power sector interventions (Smith and Haigler, 2008).",https://www.ipcc.ch/site/assets/uploads/2018/02/WGIIAR5-PartA_FINAL.pdf
168,"Climate Change 2014 Impacts, Adaptation, and Vulnerability Part A: Global and Sectoral Aspects",2014,Line Chart,None,Relationship between vulnerability to environmental change and mobility showing that populations most exposed and vulnerable to the impacts of climate change may have least ability to migrate,https://www.ipcc.ch/site/assets/uploads/2018/02/WGIIAR5-PartA_FINAL.pdf
169,"Climate Change 2014 Impacts, Adaptation, and Vulnerability Part A: Global and Sectoral Aspects",2014,???,None,"Synthesis of evidence on the impacts of climate change on elements of human security and the interactions between livelihoods, conflict, culture, and migration. Interventions and policies indicated by difference between initial conditions (solid black) and outcome of intervention (white circles)",https://www.ipcc.ch/site/assets/uploads/2018/02/WGIIAR5-PartA_FINAL.pdf
170,"Climate Change 2014 Impacts, Adaptation, and Vulnerability Part A: Global and Sectoral Aspects",2014,Heat Map,Pie Chart,"Seasonal sensitivity of livelihoods to climatic and non-climatic stressors for one calendar year, based on experiences of smallholder farmers in the Lake Victoria Basin in Kenya and Tanzania (Gabrielsson et al., 2012).",https://www.ipcc.ch/site/assets/uploads/2018/02/WGIIAR5-PartA_FINAL.pdf
171,"Climate Change 2014 Impacts, Adaptation, and Vulnerability Part A: Global and Sectoral Aspects",2014,???,None,"Confidence in detection of observed climate change impacts in physical natural systems, biological systems, and human and managed systems across regions, and confidence in attribution of such trends to observed climate change as a major or minor driver (based on assessments developed",https://www.ipcc.ch/site/assets/uploads/2018/02/WGIIAR5-PartA_FINAL.pdf
172,"Climate Change 2014 Impacts, Adaptation, and Vulnerability Part A: Global and Sectoral Aspects",2014,Heat Map,None,A global perspective on climate-related risks. Risks associated with reasons for concern are shown at right for increasing levels of climate change,https://www.ipcc.ch/site/assets/uploads/2018/02/WGIIAR5-PartA_FINAL.pdf
173,"Climate Change 2014 Impacts, Adaptation, and Vulnerability Part A: Global and Sectoral Aspects",2014,Bar Graph,Box and Whisker,% changes avoided in 2100 relative to SRES A1B or A1FI baseline in rapid early mitigation,https://www.ipcc.ch/site/assets/uploads/2018/02/WGIIAR5-PartA_FINAL.pdf
174,"Climate Change 2014 Impacts, Adaptation, and Vulnerability Part A: Global and Sectoral Aspects",2014,Heat Map,None,Pledges by Annex 1 and Annex 2 countries in response to the Copenhagen Accord,https://www.ipcc.ch/site/assets/uploads/2018/02/WGIIAR5-PartA_FINAL.pdf
175,Managing the Risks of Extreme Events and Disasters to Advance Climate Change Adaptation,2012,Line Chart,None,The effect of changes in temperature distribution on extremes,https://www.ipcc.ch/site/assets/uploads/2018/03/SREX_Full_Report-1.pdf
176,Managing the Risks of Extreme Events and Disasters to Advance Climate Change Adaptation,2012,Dot Distribution Map,Heat Map,"Change in indicators of water resources drought across Europe by the 2070s. (top): projected changes in the return period of the 1961�1990 100-year drought deficit volume for the 2070s, with change in river flows and withdrawals for two climate models,",https://www.ipcc.ch/site/assets/uploads/2018/03/SREX_Full_Report-1.pdf
177,Managing the Risks of Extreme Events and Disasters to Advance Climate Change Adaptation,2012,Bar Graph,Bar Graph,Weather- and climate-related disaster occurrence and regional average impacts from 2000 to 2008. The number of climatological,https://www.ipcc.ch/site/assets/uploads/2018/03/SREX_Full_Report-1.pdf
178,Managing the Risks of Extreme Events and Disasters to Advance Climate Change Adaptation,2012,Bar Graph,None,The overall losses and insured losses from weather- and climate-related disasters worldwide (in 2010 US$),https://www.ipcc.ch/site/assets/uploads/2018/03/SREX_Full_Report-1.pdf
179,Renewable Energy Sources and Climate Change Mitigation,2012,Line Chart,None,Comparison of GDP projections in post-SRES (Special Report on Emission Scenarios) emissions scenarios with those used in previous scenarios. The median of the new scenarios is about 7% below the median of the pre-SRES and SRES scenario literature. The two vertical bars on the right extend from the minimum to maximum of the distribution of scenarios by 2100.,  https://www.ipcc.ch/site/assets/uploads/2018/03/SRREN_Full_Report-1.pdf
180,Renewable Energy Sources and Climate Change Mitigation,2012,Line Chart,None,"Projected increase in primary energy supply. Comparison of 153 SRES and pre-SRES baseline energy scenarios in the literature compared with the 133 more recent, post-SRES scenarios. The ranges are comparable, with small changes in the lower and upper boundaries. Right panel: Expected carbon intensity changes. Historical development and projections",  https://www.ipcc.ch/site/assets/uploads/2018/03/SRREN_Full_Report-1.pdf
181,Renewable Energy Sources and Climate Change Mitigation,2012,Bar Graph,None,Influence of selected countries and country groups on global changes in CO2 emissions from 1971 to 2008.,  https://www.ipcc.ch/site/assets/uploads/2018/03/SRREN_Full_Report-1.pdf
182,Renewable Energy Sources and Climate Change Mitigation,2012,Box and Whiskers,None,"Lifecycle GHG emissions of renewable energy, nuclear energy and fossil fuels",  https://www.ipcc.ch/site/assets/uploads/2018/03/SRREN_Full_Report-1.pdf
183,Renewable Energy Sources and Climate Change Mitigation,2012,Alluvial Diagram,None,Global energy flows (EJ) in 2008 from primary RE through carriers to end uses and losses,  https://www.ipcc.ch/site/assets/uploads/2018/03/SRREN_Full_Report-1.pdf
184,Renewable Energy Sources and Climate Change Mitigation,2012,Bar Graph,None,Levelized cost of electricity (LCOE) for commercially available RE technologies covering a range of different discount rates,  https://www.ipcc.ch/site/assets/uploads/2018/03/SRREN_Full_Report-1.pdf
185,Renewable Energy Sources and Climate Change Mitigation,2012,Bar Graph,None,Levelized Cost of Fuels (LCOF) for commercially available biomass conversion technologies covering a range of different discount rates,  https://www.ipcc.ch/site/assets/uploads/2018/03/SRREN_Full_Report-1.pdf
186,Renewable Energy Sources and Climate Change Mitigation,2012,Pie Chart,Area Chart,"Top: Shares of global primary biomass sources for energy (IPCC, 2007a,d; IEA Bioenergy, 2009); Bottom: Fuelwood used in developing countries parallels world industrial roundwood1 production levels",  https://www.ipcc.ch/site/assets/uploads/2018/03/SRREN_Full_Report-1.pdf
187,Renewable Energy Sources and Climate Change Mitigation,2012,Heat Map,Chloropleth,"Global land suitability for bioenergy plantations. The upper map shows suitability for herbaceous and woody lignocellulosic plants (Miscanthus, switchgrass, reed canary grass, poplar, willow, eucalyptus) and the lower map shows suitability for fi rst-generation biofuel feedstocks (sugarcane, maize, cassava, rapeseed, soybean, palm oil, Jatropha).",  https://www.ipcc.ch/site/assets/uploads/2018/03/SRREN_Full_Report-1.pdf
188,Renewable Energy Sources and Climate Change Mitigation,2012,Box and Whiskers,None,Ranges of GHG emissions per unit energy output (MJ) from major modern bioenergy chains compared to current and selected advanced fossil fuel energy systems (land use-related net changes in carbon stocks and land management impacts are excluded). C,  https://www.ipcc.ch/site/assets/uploads/2018/03/SRREN_Full_Report-1.pdf
189,Renewable Energy Sources and Climate Change Mitigation,2012,Box and Whiskers,None,"Lifecycle GHG emissions of biopower technologies per unit of electricity generation, including supply chain emissions",  https://www.ipcc.ch/site/assets/uploads/2018/03/SRREN_Full_Report-1.pdf
190,Renewable Energy Sources and Climate Change Mitigation,2012,Bar Graph,None,The ecosystem carbon payback time for potential biofuel crop expansion pathways across the tropics comparing the year 2000,  https://www.ipcc.ch/site/assets/uploads/2018/03/SRREN_Full_Report-1.pdf
191,Renewable Energy Sources and Climate Change Mitigation,2012,Connected Scatter Plot,Bar Graph,"Cost effectiveness of interventions expressed in dollars per disability adjusted life year (DALY) saved (Glass, 2006) on the left scale (logarithmic scale), and contributions to the global burden of disease (GBD) from eight major risk factors and diseases (in %, right scale).",  https://www.ipcc.ch/site/assets/uploads/2018/03/SRREN_Full_Report-1.pdf
192,Renewable Energy Sources and Climate Change Mitigation,2012,Bar Graph,None,Cost breakdown for energy crop production costs in the grid cells with the lowest production costs within each region for the SRES A1 scenario,  https://www.ipcc.ch/site/assets/uploads/2018/03/SRREN_Full_Report-1.pdf
193,Renewable Energy Sources and Climate Change Mitigation,2012,Line Chart,None,"Sensitivity of LCOE with respect to feedstock cost for a variety of investment costs and plant capacity factors (CF). LCOE is based on a 7% discount rate, the mid-value of the operations and maintenance (O&M) cost range, and the mid-value of the lifetime range (see Annex III).",  https://www.ipcc.ch/site/assets/uploads/2018/03/SRREN_Full_Report-1.pdf
194,Renewable Energy Sources and Climate Change Mitigation,2012,Line Chart,None,Cost projections for lignocellulosic ethanol and BTL diesel,  https://www.ipcc.ch/site/assets/uploads/2018/03/SRREN_Full_Report-1.pdf
195,Renewable Energy Sources and Climate Change Mitigation,2012,Box and Whiskers,None,"(a) The global primary energy supply from biomass in long-term scenarios for electricity, heat and biofuels, all accounted for as primary energy; and (b) global biofuels production in long-term scenarios reported in secondary energy terms. For comparison, the historical levels in 2008 are indicated in the small black arrows on the left axis. [",  https://www.ipcc.ch/site/assets/uploads/2018/03/SRREN_Full_Report-1.pdf
196,Renewable Energy Sources and Climate Change Mitigation,2012,Heat Map,Chloropleth,"The global solar irradiance (W/m2 ) at the Earth�s surface obtained from satellite imaging radiometers and averaged over the period 1983 to 2006. Left panel: December, January, February. Right panel: June, July, August (ISCCP Data Products, 2006).",  https://www.ipcc.ch/site/assets/uploads/2018/03/SRREN_Full_Report-1.pdf
197,Renewable Energy Sources and Climate Change Mitigation,2012,Bar Graph,None,"Historical trends in cumulative installed PV power of off-grid and gridconnected systems in the OECD countries (IEA, 2010e). Vertical axis is in peak megawatts.",  https://www.ipcc.ch/site/assets/uploads/2018/03/SRREN_Full_Report-1.pdf
198,Renewable Energy Sources and Climate Change Mitigation,2012,Line Chart,Time Series,Installed PV capacity in eight markets. Data sources: EurObserv�ER (2009); IEA (2009c); REN21 (2009); and J�ger-Waldau (2010b).,  https://www.ipcc.ch/site/assets/uploads/2018/03/SRREN_Full_Report-1.pdf
199,Renewable Energy Sources and Climate Change Mitigation,2012,Bar Graph,None,"Installed and planned concentrated solar power plants by country (Bloem et al., 2010).",  https://www.ipcc.ch/site/assets/uploads/2018/03/SRREN_Full_Report-1.pdf
200,Renewable Energy Sources and Climate Change Mitigation,2012,Bar Graph,None,"Worldwide annual PV production in 2009 compared to the announced production capacities (J�ger-Waldau, 2010a).",  https://www.ipcc.ch/site/assets/uploads/2018/03/SRREN_Full_Report-1.pdf
201,Renewable Energy Sources and Climate Change Mitigation,2012,Bar Graph,None,"Actual (2006) and announced (2009 to 2015) production capacities of thin-fi lm and crystalline silicon-based solar modules (J�ger-Waldau, 2010b).",  https://www.ipcc.ch/site/assets/uploads/2018/03/SRREN_Full_Report-1.pdf
202,Renewable Energy Sources and Climate Change Mitigation,2012,Connected Scatter Plot,None,Solar price experience or learning curve for silicon PV modules. Data displayed follow the supply and demand fl uctuations. Data source: Maycock (1976-2003); Bloomberg (2010).,  https://www.ipcc.ch/site/assets/uploads/2018/03/SRREN_Full_Report-1.pdf
203,Renewable Energy Sources and Climate Change Mitigation,2012,Bar Graph,None,"Expected cost decline for CSP plants from 2012 to 2025. The cost number includes the cost of the plant plus fi nancing (A.T. Kearney, 2010). As reduction ranges for cost, effi ciency and economies of scale in the right panel overlap, their total contribution in 2025 amounts to less than their overall total.",  https://www.ipcc.ch/site/assets/uploads/2018/03/SRREN_Full_Report-1.pdf
204,Renewable Energy Sources and Climate Change Mitigation,2012,Line Chart,None,"Levelized cost of CSP electricity generation, 2009. Upper panel: Cost of CSP electricity generation as a function of capacity factor and investment cost1,3.",  https://www.ipcc.ch/site/assets/uploads/2018/03/SRREN_Full_Report-1.pdf
205,Renewable Energy Sources and Climate Change Mitigation,2012,Bar Graph,None,Geothermal technical potentials for electricity and direct uses (heat). Direct uses usually do not require development to depths greater than about three km,  https://www.ipcc.ch/site/assets/uploads/2018/03/SRREN_Full_Report-1.pdf
206,Renewable Energy Sources and Climate Change Mitigation,2012,Heat Map,Bar Graph,Geothermal electric installed capacity by country in 2009. Figure shows worldwide average heat fl ow in mW/m2 and tectonic plate boundaries. [Figure 4.5],  https://www.ipcc.ch/site/assets/uploads/2018/03/SRREN_Full_Report-1.pdf
207,Renewable Energy Sources and Climate Change Mitigation,2012,Scatter Plot,None,"Estimates of lifecycle GHG emissions from geothermal power generation (fl ashed steam and EGS technologies). Unmodifi ed literature values, after quality screen.",  https://www.ipcc.ch/site/assets/uploads/2018/03/SRREN_Full_Report-1.pdf
208,Renewable Energy Sources and Climate Change Mitigation,2012,Connected Scatter Plot,None,Historic and current investment costs for typical turnkey (installed) geothermal-electric project,  https://www.ipcc.ch/site/assets/uploads/2018/03/SRREN_Full_Report-1.pdf
209,Renewable Energy Sources and Climate Change Mitigation,2012,Line Chart,None,"Typical effi ciency curves for different types of hydropower turbines (Vinogg and Elstad, 2003)",  https://www.ipcc.ch/site/assets/uploads/2018/03/SRREN_Full_Report-1.pdf
210,Renewable Energy Sources and Climate Change Mitigation,2012,Bar Graph,None,"Developments in tunnelling technology: the trend in excavation c osts for a 60 m2 tunnel, in USD2005 per metre (adapted from Zare and Bruland, 2007).",  https://www.ipcc.ch/site/assets/uploads/2018/03/SRREN_Full_Report-1.pdf
211,Renewable Energy Sources and Climate Change Mitigation,2012,Pie Chart,None,"Hydropower generation in 2008 by country, indicating total generation (TWh) and respective global share (IEA, 2010a).",  https://www.ipcc.ch/site/assets/uploads/2018/03/SRREN_Full_Report-1.pdf
212,Renewable Energy Sources and Climate Change Mitigation,2012,Bar Graph,None,"Life-cycle GHG emissions of hydropower technologies (unmodifi ed literature values, after quality screen). See Annex I for details of literature search and citations of literature contributing to the estimates displayed. Surface emissions from reservoirs are referred to as gross GHG emissions.",  https://www.ipcc.ch/site/assets/uploads/2018/03/SRREN_Full_Report-1.pdf
213,Renewable Energy Sources and Climate Change Mitigation,2012,Line Chart,None,"Recent and near-term estimated levelized cost of hydropower (a) as a function of capacity factor and investment cost*, ***; and (b) as a function of capacity factor and discount rate",  https://www.ipcc.ch/site/assets/uploads/2018/03/SRREN_Full_Report-1.pdf
214,Renewable Energy Sources and Climate Change Mitigation,2012,Box and Whiskers,None,"Global primary energy supply from hydro energy in long-term scenarios (median, 25th to 75th percentile range, and full range of scenario results; colour coding is based on categories of atmospheric CO2 concentration level in 2100",  https://www.ipcc.ch/site/assets/uploads/2018/03/SRREN_Full_Report-1.pdf
